url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
t-diel.nl,35825,227820,65,26,5,174,4.3730655,2.300102,1.112179,0.000122,5.3994284
t-diel.nl,35825,227820,65,26,5,174,4.3088493,2.5453076,1.2077926,0,5.3119755
t-diel.nl,35825,227820,65,26,5,174,4.3062787,2.361286,1.2073544,0.000183,5.4122324
rijksoverheid.nl/jenv,6815,27641,27,10,11,61,4.089289,1.7553761,0.8184854,0,4.961487
rijksoverheid.nl/jenv,6815,27641,27,10,11,61,5.1954894,2.3789651,1.0137118,0.000061,4.817667
rijksoverheid.nl/jenv,6815,27641,27,10,11,61,4.1652822,2.002395,0.82645595,0,4.3316298
rijksoverheid.nl/jenv,6815,27641,27,10,11,61,4.1541896,1.9369473,0.88344955,0,4.265958
rijksoverheid.nl/jenv,6815,27641,27,10,11,61,4.210824,1.7581842,0.8193949,0.000183,3.8101015
enschede.nl,24541,176699,50,24,10,63,4.597448,4.368119,2.216348,0,10.45646
enschede.nl,24541,176699,50,24,10,63,4.614516,4.0209084,2.255351,0.000122,8.913257
enschede.nl,24541,176699,50,24,10,63,4.633344,3.9288788,2.1866655,0,8.834348
enschede.nl,24541,176699,50,24,10,63,4.7168813,4.374798,2.393064,0,9.622894
enschede.nl,24541,176699,50,24,10,63,4.6510344,4.0961905,2.420866,0,9.070819
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,779,479,0,0,0,0,4.0307913,0.093999386,0.036512315,0,1.39081
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,779,479,0,0,0,0,4.0312624,0.69192505,0.21305978,0.000122,1.952117
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,779,479,0,0,0,0,4.0597844,0.8479345,0.17699689,0,1.786171
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,779,479,0,0,0,0,4.0309987,0.22656655,0.06412184,0,0.95278454
