Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Go,send-static-file,2.06053019,7.41372156,5.85345888,0.13509640,23.72219467
Go,send-static-file,2.05244637,7.42226267,5.85003567,0.13442707,23.70539665
Go,send-static-file,2.03834891,7.38702011,5.80777216,0.13733044,23.76185226
Go,send-static-file,2.04288554,7.35014343,5.79774714,0.13451350,23.72249031
Go,send-static-file,2.00806785,7.21410131,5.71648979,0.13285339,23.53474236
Go,varying-allocations,1.84787190,6.72821760,5.46241570,0.11567062,19.28990936
Go,varying-allocations,1.78353238,6.47172928,5.24201250,0.11245075,21.71744347
Go,varying-allocations,1.78754604,6.39682674,5.23435783,0.11299985,19.39776611
Go,varying-allocations,1.76859903,6.31816006,5.17651415,0.11402402,21.36914253
Go,varying-allocations,1.75441253,6.27060986,5.13090324,0.11143477,19.30075645
Go,varying-allocations,1.76234555,6.41856575,5.19433784,0.11155645,19.53657341
Go,varying-allocations,1.76300788,6.31256533,5.15661430,0.11307323,19.50413895
Go,varying-allocations,1.76163411,6.27549934,5.14484644,0.11138442,21.41284561
Go,varying-allocations,1.77089334,6.34731722,5.20192528,0.11111964,19.33378983
Go,varying-allocations,1.78689742,6.41161728,5.24180603,0.11227687,21.61767578
Go,varying-allocations,1.76315439,6.31495190,5.18852091,0.11075098,19.37887764
Go,varying-allocations,1.77292204,6.33497524,5.18323326,0.11169936,19.36141396
Go,varying-allocations,1.77139854,6.36529160,5.21414518,0.11044086,21.42663765
Go,varying-allocations,1.78519940,6.40095711,5.24172735,0.11089905,19.37071228
Go,varying-allocations,1.78273380,6.39118195,5.22371912,0.11142606,19.34387016
Go,varying-allocations,1.76528275,6.33687162,5.20253515,0.11108415,21.53132248
Go,varying-allocations,1.78314137,6.41151428,5.24174595,0.11044278,19.34314156
Go,varying-allocations,1.79761624,6.51468372,5.29147959,0.11241757,21.44226265
Go,varying-allocations,1.78085697,6.46016121,5.21273232,0.11188199,19.62847519
Go,varying-allocations,1.77282107,6.34875107,5.21168613,0.10870992,21.42409325
Go,varying-allocations,1.77472472,6.35614538,5.21668816,0.11203756,19.35819054
Go,varying-allocations,1.75468719,6.28517723,5.15937948,0.11161354,19.36276627
Go,varying-allocations,1.78052926,6.38531685,5.21587801,0.11280306,21.44156265
Go,varying-allocations,1.77393341,6.43281364,5.21127272,0.11174476,19.57835388
Go,varying-allocations,1.74706626,6.29613829,5.16122246,0.10904606,19.50139046
Go,varying-allocations,1.77206433,6.35279179,5.21200323,0.11134558,21.45669746
Go,varying-allocations,1.78030968,6.40947819,5.25123787,0.11445445,19.37945557
Go,varying-allocations,1.78363383,6.45191097,5.28259039,0.11360918,21.52976227
Go,varying-allocations,1.76436269,6.34832048,5.20201397,0.11170834,19.47046661
Go,varying-allocations,1.77414346,6.37955379,5.22998905,0.11241353,19.42173004
Go,varying-allocations,1.75384617,6.32274294,5.19541025,0.11260352,19.42676926
Go,varying-allocations,1.76345396,6.33564186,5.19715834,0.11147835,21.50334167
Go,varying-allocations,1.77980065,6.44210863,5.26355600,0.11318029,19.50536537
Go,varying-allocations,1.77567983,6.37430334,5.20963669,0.11409783,21.48148346
Go,varying-allocations,1.77666998,6.43830109,5.22864342,0.11493757,19.47971153
Go,varying-allocations,1.78497291,6.46016312,5.27666187,0.11480953,19.65236664
Go,varying-allocations,1.74440217,6.23212242,5.11784172,0.11152814,19.41240501
Go,varying-allocations,1.75376403,6.31701660,5.18339539,0.11126177,19.45816612
Go,varying-allocations,1.77161860,6.38336468,5.23163986,0.11141445,19.45749283
Go,varying-allocations,1.76290691,6.33915806,5.21021271,0.10996179,21.47307014
Go,varying-allocations,1.78490806,6.38959122,5.24401426,0.11358853,19.27748299
Go,varying-allocations,1.77818477,6.46653175,5.23435688,0.11479121,19.66450310
Go,varying-allocations,1.77007282,6.37618065,5.21287012,0.11333029,21.55400658
Go,varying-allocations,1.77292681,6.41870880,5.25672007,0.11432329,19.45515442
Go,varying-allocations,1.76193380,6.30278206,5.17234421,0.11162481,19.38105965
Go,varying-allocations,1.77526903,6.41446209,5.25990820,0.11563016,21.41971588
Go,varying-allocations,1.76686382,6.38440371,5.22624445,0.11295177,19.59099579
Go,varying-allocations,1.78474665,6.42067719,5.27588987,0.11340902,21.46527100
Go,varying-allocations,1.78856254,6.44021225,5.26843739,0.11560818,19.48969841
Go,varying-allocations,1.76623487,6.36479950,5.23314095,0.11198547,19.40461922
Go,varying-allocations,1.77309453,6.35593462,5.20384645,0.11279570,21.45485497
Go,varying-allocations,1.76640058,6.39449835,5.20175409,0.11131092,19.43557358
Go,varying-allocations,1.76749706,6.37238503,5.22416925,0.11117202,19.62111282
Go,varying-allocations,1.75961304,6.41069078,5.19496965,0.11153858,19.72895813
Go,varying-allocations,1.76168990,6.32515144,5.19739151,0.11223856,21.47524452
Go,varying-allocations,1.79780507,6.46255779,5.30824518,0.11320765,19.37942505
Go,varying-allocations,1.78052676,6.50665855,5.22967100,0.11146009,22.03531647
Go,varying-allocations,1.76529574,6.36248493,5.22535944,0.11315896,19.53129768
Go,varying-allocations,1.79591751,6.48858452,5.30171633,0.11311477,21.63279915
Go,varying-allocations,1.77926588,6.47398567,5.25805378,0.11202854,19.66257095
Go,varying-allocations,1.78260636,6.43460369,5.27927399,0.11301503,21.59409904
Go,varying-allocations,1.77981162,6.37586689,5.22717762,0.11446112,19.31784439
Go,varying-allocations,1.78728306,6.43021345,5.26465654,0.11361391,19.33573723
Go,varying-allocations,1.76458001,6.35956383,5.22372055,0.11219399,21.40757751
Go,varying-allocations,1.77461481,6.35394382,5.21242571,0.11484726,19.38963699
Go,varying-allocations,1.76996326,6.36952400,5.22356129,0.11278198,19.42920303
Go,varying-allocations,1.76605165,6.34831333,5.21326256,0.11088931,21.59244728
Go,varying-allocations,1.76979756,6.37376213,5.22345638,0.11394453,19.58574867
Go,varying-allocations,1.81043053,6.60908747,5.34424448,0.11557597,21.73185158
Go,varying-allocations,1.76946533,6.40182972,5.25241899,0.11199667,19.46134377
Go,varying-allocations,1.78949666,6.43423367,5.26877451,0.11425078,21.51927948
Go,varying-allocations,1.76925218,6.38624763,5.22173834,0.11230495,19.43047523
Go,varying-allocations,1.76895082,6.37062502,5.21725178,0.11206559,19.43101311
Go,varying-allocations,1.76711631,6.37209034,5.22463322,0.11258189,21.46554375
